Wavelength(nm),Flux
6741.794211588606,741651.8758248863
6740.428917413829,743421.5336970063
6739.062049226998,748655.6593860026
6737.693607028114,745924.4264626188
6736.323590817175,745674.8669621607
6734.952000594181,744472.0571617782
6733.578836359135,748834.3043390242
6732.2040981120335,743772.3425117891
6730.827785852879,746890.7623412857
6729.449899581669,747171.0021258786
6728.070439298407,743247.8999630227
6726.68940500309,743432.7094690219
6725.306796695719,754049.6253837385
6723.9226143762935,744327.1390607788
6722.536858044815,743294.8901912007
6721.149527701282,746719.3710182202
6719.760623345694,742892.7983302281
6718.370144978054,737125.3051398385
6716.978092598358,739169.2839618059
6715.584466206609,740812.1745329904
6714.189265802806,736056.5763123651
6712.792491386949,741497.5033472842
6711.394142959039,737927.5434574988
6709.994220519074,743665.6475726733
6708.592724067054,733480.4238624605
6707.189653602982,739261.6889103352
6705.785009126854,736617.5115916536
6704.378790638674,744579.6785702377
6702.970998138438,733335.6445264643
6701.5616316261485,737451.9548265812
6700.150691101807,736352.5114695885
6698.738176565409,740206.7677622894
6697.324088016959,738108.4508041895
6695.908425456454,733560.3067654809
6694.491188883894,727139.5631183278
6693.072378299281,735818.7864890582
6691.651993702614,736919.4262924376
6690.230035093893,731579.8690056653
6688.806502473118,731907.1311370718
6687.38139584029,735023.0831725274
6685.954715195406,726269.4014316772
6684.526460538469,728942.4904558152
6683.096631869478,725186.4660495463
6681.665229188434,731944.93841855
6680.232252495334,729783.2314066393
6678.797701790181,729209.3130291464
6677.361577072975,724068.1331660601
6675.923878343713,726046.3366720132
6674.484605602398,724089.1390265044
6673.043758849029,720157.4284117247
6671.601338083607,723173.4429282629
6670.157343306129,718860.8962479936
6668.711774516598,717493.757945813
6667.264631715013,713403.6627322262
6665.815914901374,714789.0214784171
6664.365624075681,715294.3108310757
6662.913759237935,716122.5725957098
6661.460320388133,712880.7523334563
6660.005307526278,707215.9828748734
6658.548720652369,704337.1773475234
6657.090559766407,703265.5291691914
6655.63082486839,703571.7865577198
6654.169515958319,688637.2678527164
6652.706633036193,689744.524018024
6651.242176102014,679712.1365687774
6649.776145155781,677970.2980285076
6648.308540197495,677562.6823650679
6646.839361227154,671150.4693242487
6645.368608244758,662062.135511455
6643.89628125031,659065.9444083404
6642.422380243806,650680.0300827166
6640.946905225249,651694.6980663369
6639.469856194638,639623.4780876645
6637.991233151973,638003.5810474359
6636.511036097254,634004.7969381202
6635.029265030481,625709.8457879495
6633.545919951654,620129.5366759253
6632.061000860773,619573.4229551589
6630.574507757839,609411.4122958477
6629.086440642849,613398.5582594366
6627.596799515806,610304.7496208624
6626.10558437671,611597.2184006165
6624.612795225558,602108.8463561465
6623.118432062353,606569.5335522348
6621.622494887094,597852.842272749
6620.124983699781,601206.8451176389
6618.625898500414,594851.4304601398
6617.125239288994,594504.6653314823
6615.623006065518,594190.3130684728
6614.11919882999,590576.1921164347
6612.613817582406,596318.4066738551
6611.106862322769,595531.3569307494
6609.598333051078,597557.7761436937
6608.088229767333,602408.8754034588
6606.576552471534,600367.111571232
6605.063301163682,609599.0664471671
6603.548475843774,609714.0857264866
6602.032076511813,611084.6367194077
6600.514103167799,619697.1318208727
6598.994555811729,628333.3742337488
6597.4734344436065,628988.9584504176
6595.950739063429,636644.3196437546
6594.426469671198,638195.1997330714
6592.900626266913,648491.9732996847
6591.373208850574,649203.6899478883
6589.844217422181,657278.3122599727
6588.313651981734,669931.0844946393
6586.781512529234,675010.2505114365
6585.2477990646785,679373.235268891
6583.712511588069,687512.5901141277
6582.175650099406,692443.1423302237
6580.637214598689,698540.6854324435
6579.097205085918,698920.6756527168
6577.555621561093,702502.9555433742
6576.012464024215,712837.965389163
6574.46773247528,711201.8665844026
6572.921426914295,719564.1334179812
6571.3735473412535,725458.8924843053
6569.824093756158,730429.2121928794
6568.273066159009,731917.9990394021
6566.720464549807,729057.323418308
6565.16628892855,733850.5496128182
6563.610539295238,735474.1032139846
6562.053215649873,738310.661150837
6560.494317992454,738517.6512270102
6558.933846322981,746247.3535277972
6557.371800641455,741248.041680716
6555.808180947873,744308.8284303809
6554.242987242238,743642.2214945514
6552.676219524549,746758.6385744511
6551.107877794807,750926.7049314308
6549.537962053009,750589.4643622391
6547.966472299158,750873.8441274017
6546.393408533254,751696.8793083644
6544.818770755294,753936.280163044
6543.242558965281,752737.5815807868
6541.664773163214,754902.9522223043
6540.085413349093,754234.0120622184
6538.504479522918,753077.2346695499
6536.921971684689,753604.0548048407
6535.337889834406,750995.4812389269
6533.752233972069,748525.7408608923
6532.165004097678,753428.5726380153
6530.576200211234,755999.7284910904
6528.985822312734,750660.9568485691
6527.393870402181,758626.6199286965
6525.800344479575,755396.3056038899
6524.205244544913,753068.1198734969
6522.608570598198,752882.9293128696
6521.0103226394285,751372.803971751
6519.410500668606,750428.7893405636
6517.80910468573,752212.9533004052
6516.2061346907985,751934.9234644711
6514.601590683814,743455.9147949199
6512.995472664775,745438.9826030737
6511.387780633681,753307.4476296129
6509.7785145905345,738519.5917565058
6508.167674535333,741861.6511039105
6506.555260468078,739650.6935141089
6504.94127238877,752963.535006662
6503.325710297406,768288.0621733634
6501.708574193989,750456.9008645233
6500.089864078518,745188.4791838285
6498.469579950994,733355.7412762069
6496.847721811414,736141.1026699226
6495.224289659782,730823.8279580043
6493.599283496095,730160.8788574908
6491.9727033203535,734160.6388036663
6490.344549132559,729635.6959996126
6488.71482093271,731809.586703238
6487.083518720807,720309.3300750062
6485.4506424968495,732330.8396731172
6483.816192260839,722597.0399483852
6482.180168012774,720161.4406233327
6480.542569752654,720592.4439094786
6478.9033974804815,722775.3860149678
6477.262651196254,714797.0230099045
6475.620330899974,717851.1142796424
6473.976436591638,720404.5364444167
6472.33096827125,715110.9843639141
6470.683925938806,723525.7129585803
6469.035309594309,718890.0625638375
6467.385119237758,717583.8134800801
6465.733354869153,719239.1746009219
6464.080016488494,712468.3143124335
6462.4251040957815,723121.1264948944
6460.768617691015,715457.5038505387
6459.1105572741935,722804.2420095421
6457.450922845319,722386.449996223
6455.78971440439,724098.5408501307
6454.126931951406,719609.5455902554
6452.462575486369,725489.2876450192
6450.796645009278,720121.6524688305
6449.129140520133,725756.6741131097
6447.460062018935,721820.3521137835
6445.789409505681,724914.742046942
6444.117182980374,724860.2805277769
6442.443382443013,724230.4195213655
6440.768007893598,731088.43056874
6439.091059332129,733585.3981106984
6437.412536758607,731310.2319518314
6435.732440173029,731332.9635365059
6434.050769575398,732655.6635014387
6432.367524965713,737829.3576501259
6430.682706343974,735848.3275547324
6428.996313710181,750060.5412160004
6427.308347064335,737503.8012064737
6425.618806406434,739780.9250692736
6423.927691736478,735181.4910287932
6422.2350030544685,743258.595988517
6420.540740360407,747734.7919143096
6418.84490365429,748744.308189507
6417.147492936118,749634.9698458391
6415.448508205893,749976.1895927822
6413.7479494636145,748499.1095054505
6412.045816709281,753843.1029199897
6410.342109942894,758004.5746072612
6408.636829164453,754695.8830782267
6406.929974373958,756336.760140413
6405.2215455714095,760297.1127512908
6403.511542756806,758796.539242039
6401.7999659301495,764729.1371344322
6400.0868150914375,765107.8232656119
