Wavelength(A),Weight
3.605225522552255370e+03,1.631371706260455356e+00
3.605610561056105780e+03,1.630888271401992551e+00
3.605995599559956190e+03,1.630404836543529745e+00
3.606380638063806146e+03,1.629922010608291005e+00
3.606765676567656556e+03,1.629439191712626300e+00
3.607150715071506966e+03,1.628956192984397200e+00
3.607535753575357376e+03,1.628472914662473015e+00
3.607920792079207786e+03,1.627989636340548829e+00
3.608305830583058196e+03,1.627508535912517873e+00
3.608690869086908606e+03,1.627027999543336767e+00
3.609075907590759016e+03,1.626548058104125394e+00
3.609460946094609426e+03,1.626070539495661160e+00
3.609845984598459836e+03,1.625593020887196705e+00
3.610231023102310246e+03,1.625115163223888270e+00
3.610616061606160656e+03,1.624637079524017258e+00
3.611001100110011066e+03,1.624159023258463286e+00
3.611386138613861476e+03,1.623690541569561052e+00
3.611771177117711886e+03,1.623222059880658596e+00
3.612156215621562296e+03,1.622754867165820514e+00
3.612541254125412706e+03,1.622289562525667916e+00
3.612926292629263116e+03,1.621824257885515319e+00
3.613311331133113526e+03,1.621358423413320038e+00
3.613696369636963482e+03,1.620892463503857295e+00
3.614081408140813892e+03,1.620430890588773432e+00
3.614466446644664302e+03,1.619985679977051563e+00
3.614851485148514712e+03,1.619540469365329471e+00
3.615236523652365122e+03,1.619095098191262627e+00
3.615621562156215532e+03,1.618649626198979119e+00
3.616006600660065942e+03,1.618204258636424697e+00
3.616391639163916352e+03,1.617764878378338711e+00
3.616776677667766762e+03,1.617325498120252503e+00
3.617161716171617172e+03,1.616895365600179435e+00
3.617546754675467582e+03,1.616478003765933424e+00
3.617931793179317992e+03,1.616060641931687414e+00
3.618316831683168402e+03,1.615642606036967521e+00
3.618701870187018812e+03,1.615224425032006472e+00
3.619086908690869222e+03,1.614810098016239426e+00
3.619471947194719633e+03,1.614408991646948621e+00
3.619856985698570043e+03,1.614007885277657817e+00
3.620242024202419998e+03,1.613618350395061851e+00
3.620627062706270408e+03,1.613235653209148524e+00
3.621012101210120818e+03,1.612852926834689615e+00
3.621397139713971228e+03,1.612469300922327653e+00
3.621782178217821638e+03,1.612085675009965469e+00
3.622167216721672048e+03,1.611715974458309386e+00
3.622552255225522458e+03,1.611364413521257033e+00
3.622937293729372868e+03,1.611012852584204680e+00
